Part,Value,Device,Package,Description,PROD_ID,SF_ID,VALUE
ALT_PWR_EN,B2-Off-B1,CONN_03_SLIDE_SWITCH_EG5137,1X03_SLIDE_SWITCH_EG5137,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
BATT,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
BATT2,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
BMI088_IMU,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,CONN-13694,,QWIIC_RIGHT_ANGLE
BMP388,Pressure Sensor,CONN_08_BMP388_MODIFIEDFEMALE_LOCK,1X08_FEMALE_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,CONN-09233,PRT-09279,
BNO055_IMU,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,CONN-13694,,QWIIC_RIGHT_ANGLE
C1,47pF,47PF-0603-50V-5%,603,47pF ceramic capacitors,CAP-08913,,47pF
CHARGE_EN,Off-Off-Chg,CONN_03_SLIDE_SWITCH_EG5137,1X03_SLIDE_SWITCH_EG5137,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
CONN_U.FL,U.FL,U.FL2PIN,U.FL,SMD Antenna Connector - U.FL,CONN-09193,WRL-09144,U.FL
FB1,30Ω/1.8A,FERRITE_BEAD-0603,603,Ferrite Bead (blocks,,,
GND_1,6pin,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
GND_2,6pin,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
GND_3,8pin,CONN_08LOCK,1X08_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
GPS,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,CONN-13694,,QWIIC_RIGHT_ANGLE
GPS_SMD,U-BLOX_NEO-M9N,U-BLOX_NEO-M9N,NEO-M9N/M8T/M8U,u-blox NEO-M9N GPS Module,IC-14651,,
GRID_DC,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
I2C_DEV1,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,CONN-13694,,QWIIC_RIGHT_ANGLE
