Designator,Mid X,Mid Y,Layer,Rotation
C1,3.81,71.12,Top,0
FB1,3.81,78.74,Top,180
M1,51.85,8.89,Top,90
M2,42.13,8.89,Top,270
M3,31.53,8.89,Top,90
M4,20.41,8.89,Top,270
M5,10.67,11.46,Top,180
M5V,12.16,19.94,Top,90
PWR_SWITCHER,46.36,84.24,Top,270
R1,3.81,74.93,Top,0
R2,52.07,71.12,Top,180
R3,24.13,90.17,Top,90
R4,28.07,90.17,Top,270
R5,17.02,21.08,Top,90
R6,25.02,85.47,Top,180
R7,56.13,9.91,Top,90
R8,28.83,85.47,Top,180
R9,25.4,81.28,Top,90
R10,36.83,6.99,Top,0
R11,36.83,10.79,Top,180
R12,15.37,8.26,Top,270
R13,11.81,15.24,Top,180
R14,32.13,83.31,Top,180
R15,35.94,83.31,Top,180
R16,33.02,80.52,Top,0
